,city,15,24,27,coordinates
464,Новая Усмань,74.0,,,"[39.410268, 51.643447]"
465,Новоалтайск,164.0,,125.0,"[83.931079, 53.412021]"
466,Новоаннинский,51.0,,,"[42.667083, 50.529606]"
467,Новобелокатай,50.0,,,"[58.959199, 55.70771]"
468,Нововоронеж,112.0,,,"[39.215981, 51.3091]"
469,Новодвинск,46.0,,,"[40.82083, 64.413687]"
470,Новозыбков,82.0,,38.0,"[31.933231, 52.536723]"
471,Новоильинск,95.0,,,"[108.707621, 51.68243]"
472,Новокузнецк,3350.0,,1441.0,"[87.136053, 53.757553]"
473,Новокуйбышевск,485.0,,,"[49.947776, 53.099469]"
474,Новомосковск,2040.0,,241.0,"[38.291057, 54.010914]"
475,Новоомский,86.0,,,"[73.301, 54.841371]"
476,Новопавловск,49.0,,,"[43.63191, 43.957369]"
477,Новороссийск,592.0,,,"[37.768813, 44.723771]"
478,Новосибирск,9480.0,4074.0,8821.0,"[82.92043, 55.030204]"
479,Новотроицк,959.0,,,"[58.299683, 51.196355]"
480,Новоуральск,424.0,,76.0,"[60.095613, 57.247235]"
481,Новохоперск,55.0,,,"[41.631461, 51.100286]"
482,Новочебоксарск,297.0,,,"[47.476807, 56.108738]"
483,Новочеркасск,8097.0,,2784.0,"[40.093734, 47.422052]"
484,Новошахтинск,84.0,,,"[39.934705, 47.754315]"
485,Новый Быт,137.0,,,"[37.605122, 55.059817]"
486,Новый Уренгой,303.0,,,"[76.680956, 66.084539]"
487,Ногинск,182.0,,171.0,"[38.441866, 55.854476]"
488,Норильск,868.0,,,"[88.210393, 69.343985]"
489,Ноябрьск,240.0,,,"[75.450938, 63.201805]"
490,Нытва,30.0,,,"[55.328631, 57.939127]"
491,Нягань,106.0,,,"[65.433393, 62.14681]"
492,Нязепетровск,33.0,,,"[59.595449, 56.053924]"
493,Обнинск,125.0,,,"[36.586459, 55.11202]"
494,Обоянь,60.0,,,"[36.267638, 51.209893]"
495,Одинцово,104.0,,,"[37.263663, 55.679138]"
496,Озерск,144.0,,63.0,"[60.707608, 55.763189]"
497,Озеры,78.0,,,"[38.559833, 54.854092]"
498,Октябрьский,1420.0,,,"[53.46557, 54.481454]"
499,Октябрьский,1420.0,,,"[43.171829, 61.089321]"
500,Октябрьское,54.0,,,"[62.728988, 54.412296]"
501,Оленегорск,49.0,,,"[33.270104, 68.14046]"
502,Омск,4697.0,4894.0,9398.0,"[73.368221, 54.989347]"
503,Омутнинск,48.0,,,"[52.177161, 58.66406]"
504,Онега,73.0,,,"[38.086655, 63.914485]"
505,Опочка,62.0,,,"[28.658926, 56.713993]"
506,Орел,539.0,,311.0,"[36.064358, 52.970756]"
507,Оренбург,5129.0,2506.0,2540.0,"[55.096964, 51.768205]"
508,Орехово-Зуево,191.0,,,"[38.981601, 55.805842]"
509,Орлов,8.0,,,"[48.89284, 58.539037]"
510,Орск,1280.0,,174.0,"[58.474675, 51.2293]"
511,Осинники,32.0,,,"[87.337078, 53.598754]"
512,Осташков,50.0,,,"[33.102873, 57.15605]"
513,Острогожск,92.0,,,"[39.082365, 50.860145]"
514,Отрадный,142.0,,,"[51.348789, 53.376549]"
515,Оха,224.0,,,"[142.949163, 53.588974]"
516,Очер,47.0,,,"[54.716096, 57.885268]"
517,Павлово,173.0,,,"[43.064848, 55.965103]"
518,Павловский Посад,120.0,,,"[38.650976, 55.78034]"
519,Палана,20.0,,,"[159.951307, 59.082834]"
520,Парабель,37.0,,,"[81.489871, 58.703203]"
521,Парковый,116.0,,,"[40.146869, 45.838031]"
522,Партизанск,56.0,,,"[133.123255, 43.11982]"
523,Пенза,4699.0,,4726.0,"[45.018316, 53.195042]"
524,Первомайск,155.0,,,"[43.801386, 54.867632]"
525,Первомайский,178.0,,,"[37.503837, 54.036483]"
526,Первомайский,178.0,,,"[51.641055, 51.903798]"
527,Первомайский,178.0,,,"[61.174696, 54.865622]"
528,Первомайский,178.0,,,"[115.63833, 51.669294]"
529,Первомайское,54.0,,,"[42.481536, 43.938113]"
530,Первомайское,54.0,,,"[84.020812, 53.723059]"
531,Первомайское,54.0,,,"[86.234952, 57.073198]"
532,Первоуральск,249.0,,,"[59.943267, 56.905819]"
533,Перевоз,134.0,,,"[44.54494, 55.596854]"
534,Переславль-Залесский,88.0,,,"[38.854382, 56.739194]"
535,Пермь,3691.0,5111.0,2961.0,"[56.229443, 58.010455]"
536,Пестравка,24.0,,,"[49.962167, 52.40377]"
537,Петровск,223.0,,,"[45.38994, 52.314028]"
538,Петрозаводск,1361.0,,134.0,"[34.346878, 61.785021]"
539,Петропавловка,35.0,,,"[105.317631, 50.610055]"
540,Петропавловск-Камчатский,843.0,,449.0,"[158.643503, 53.024265]"
541,Петушки,48.0,,,"[39.459352, 55.931104]"
542,Печора,83.0,,,"[57.223977, 65.148606]"
543,Пласт,91.0,,,"[60.808408, 54.363281]"
544,Плесецк,36.0,,,"[40.281194, 62.710039]"
545,Побединское,112.0,,,"[45.438386, 43.401471]"
546,Подольск,161.0,,152.0,"[37.544997, 55.431136]"
547,Подпорожье,52.0,,,"[34.167952, 60.912097]"
548,Покачи,31.0,,,"[75.599753, 61.741652]"
549,Покровка,48.0,,,"[53.874707, 51.98986]"
550,Покровка,48.0,,,"[131.635555, 43.950906]"
551,Полевской,157.0,,,"[60.236307, 56.495802]"
552,Полесск,100.0,,,"[21.109888, 54.862782]"
553,Полысаево,134.0,,,"[86.280901, 54.605443]"
554,Полярные Зори,56.0,,72.0,"[32.500975, 67.365788]"
555,Похвистнево,32.0,,,"[52.123038, 53.653394]"
556,Пошехонье,44.0,,,"[39.120481, 58.503857]"
557,Приморский,89.0,,,"[35.488098, 45.115886]"
558,Приозерск,67.0,,,"[30.115589, 61.035979]"
559,Прогресс,20.0,,,"[54.721783, 56.24402]"
560,Прокопьевск,410.0,,,"[86.750055, 53.884493]"
561,Пролетарск,67.0,,,"[41.727544, 46.703855]"
562,Протвино,765.0,,,"[37.2151, 54.864969]"
563,Пруды,110.0,,,"[165.889368, 67.396381]"
564,Псков,1071.0,,278.0,"[28.33246, 57.819274]"
565,Пугачев,60.0,,,"[48.812036, 52.0119]"
566,Пятигорск,,,348.0,"[43.070643, 44.039802]"
567,Радужный,72.0,,,"[40.332605, 55.995659]"
568,Радужный,72.0,,,"[77.458448, 62.134265]"
569,Райчихинск,125.0,,,"[129.411255, 49.794114]"
570,Ракитное,53.0,,,"[35.831389, 50.834383]"
571,Раменское,180.0,,,"[38.225004, 55.567586]"
572,Ревда,92.0,,,"[59.908718, 56.800084]"
573,Реж,83.0,,,"[61.391648, 57.373777]"
574,Реутов,217.0,,,"[37.85515, 55.760515]"
575,Ржев,163.0,,,"[34.334419, 56.263017]"
576,Ровеньки,,,41.0,"[38.891985, 49.914716]"
577,Рославль,92.0,,,"[32.857498, 53.947229]"
578,Россошь,363.0,,,"[39.562632, 50.198256]"
579,Ростов,79.0,,,"[39.414526, 57.18587]"
580,Ростов-на-Дону,7068.0,5599.0,10971.0,"[39.720358, 47.222078]"
581,Рошаль,46.0,,,"[39.862768, 55.663283]"
582,Ртищево,78.0,,,"[43.785657, 52.257455]"
583,Рубцовск,735.0,,,"[81.217673, 51.527623]"
584,Рудня,66.0,,,"[31.081763, 54.948013]"
585,Рудня,66.0,,,"[44.556384, 50.801559]"
586,Рузаевка,2452.0,,99.0,"[44.94911, 54.058274]"
587,Рыбинск,3035.0,962.0,963.0,"[38.855711, 58.04864]"
588,Рыбное,75.0,,,"[39.505463, 54.730812]"
589,Рыбное,75.0,,,"[37.619782, 56.41525]"
590,Рязань,4359.0,,2070.0,"[39.741917, 54.629565]"
591,Салават,1480.0,,,"[55.924681, 53.361651]"
592,Сальск,133.0,,,"[41.541503, 46.474898]"
593,Самара,14092.0,2049.0,8120.0,"[50.100202, 53.195878]"
594,Санкт-Петербург,46722.0,4595.0,30460.0,"[30.315877, 59.939099]"
595,Саранск,720.0,,1394.0,"[45.183938, 54.187433]"
596,Сарапул,985.0,,,"[53.803687, 56.461218]"
597,Саратов,7598.0,,5835.0,"[46.034266, 51.533562]"
598,Саров,2676.0,,,"[43.344853, 54.922793]"
599,Сатка,110.0,,,"[58.974578, 55.047456]"
600,Сафоново,190.0,,,"[33.23798, 55.106057]"
601,Саяногорск,204.0,,,"[91.412204, 53.100762]"
602,Светлый,137.0,,,"[20.131093, 54.673268]"
603,Светлый,137.0,,,"[113.426974, 63.049927]"
604,Светогорск,32.0,,,"[28.865879, 61.113731]"
605,Свирск,56.0,,,"[103.342253, 53.066572]"
606,Свобода,49.0,,,"[36.304738, 51.973774]"
607,Свободный,128.0,,,"[128.134156, 51.375889]"
608,Севастополь,197.0,,,"[33.525135, 44.616495]"
609,Северобайкальск,67.0,,,"[109.335597, 55.636001]"
610,Северодвинск,2015.0,,604.0,"[39.823781, 64.563386]"
611,Североуральск,73.0,,,"[59.952161, 60.152394]"
612,Северск,591.0,,,"[84.880913, 56.60319]"
613,Селенгинск,78.0,,,"[106.862616, 52.005386]"
614,Семенов,68.0,,,"[44.49034, 56.789017]"
615,Семилуки,110.0,,,"[39.020211, 51.69463]"
616,Сергиев Посад,206.0,,,"[38.135972, 56.315311]"
617,Сердобск,79.0,,,"[44.202735, 52.455683]"
618,Серноводск,111.0,,,"[51.255759, 53.921982]"
619,Серов,264.0,,,"[60.573588, 59.605395]"
620,Серп и Молот,73.0,,,"[42.492235, 50.851121]"
621,Серпухов,302.0,,,"[37.416601, 54.913681]"
622,Сибай,259.0,,,"[58.665665, 52.72039]"
623,Сим,192.0,,,"[57.687184, 54.988469]"
624,Симферополь,925.0,,,"[34.100327, 44.948237]"
625,Славянка,88.0,,,"[131.385581, 42.865001]"
626,Сланцы,84.0,,,"[28.088145, 59.11779]"
627,Слобода,168.0,,,"[40.29351, 51.13569]"
628,Смоленск,1873.0,,,"[32.045287, 54.782635]"
629,Снежинск,861.0,,,"[60.732707, 56.087303]"
630,Советск,179.0,,,"[21.888656, 55.081034]"
631,Советск,179.0,,,"[48.959521, 57.587599]"
632,Советск,179.0,,,"[37.626636, 53.932946]"
633,Советская Гавань,42.0,,,"[140.285128, 48.966446]"
634,Советский,110.0,,,"[63.566802, 61.370766]"
635,Советский,110.0,,,"[34.929005, 45.340396]"
636,Советский,110.0,,,"[63.566802, 61.370766]"
637,Совхоз Мамадышский,84.0,,,"[51.385494, 55.707699]"
638,Сокол,92.0,,,"[40.099986, 59.460972]"
639,Соликамск,328.0,,118.0,"[56.770391, 59.649193]"
640,Солнечногорск,284.0,,268.0,"[36.977631, 56.185107]"
641,Соль-Илецк,59.0,,,"[54.980031, 51.161986]"
642,Сорочинск,69.0,,,"[53.161149, 52.431316]"
643,Сосенский,78.0,,,"[35.966038, 54.059489]"
644,Сосково,14.0,,,"[35.386445, 52.748434]"
645,Сосновоборск,267.0,,,"[93.335434, 56.120211]"
646,Сосновоборск,267.0,,,"[46.247184, 53.299168]"
647,Сосновское,75.0,,,"[43.168307, 55.804369]"
648,Сосновское,75.0,,,"[73.161366, 54.598439]"
649,Сосновый Бор,123.0,,,"[29.09221, 59.904225]"
650,Сосногорск,146.0,,,"[53.873117, 63.600002]"
651,Спас-Клепики,41.0,,,"[40.17628, 55.131167]"
652,Спасск-Дальний,148.0,,,"[132.817568, 44.597647]"
653,Ставрополь,1825.0,,425.0,"[41.96911, 45.043317]"
654,Старая Русса,126.0,,,"[31.355461, 57.99072]"
655,Староминская,70.0,,,"[39.062629, 46.538766]"
656,Старосубхангулово,22.0,,,"[57.441612, 53.102183]"
657,Старощербиновская,,68.0,,"[38.666787, 46.633433]"
658,Старый Оскол,2957.0,,521.0,"[37.833231, 51.297974]"
659,Степное,76.0,,,"[46.844169, 51.377801]"
660,Стерлитамак,2041.0,,1105.0,"[55.930825, 53.630403]"
661,Стрежевой,66.0,,,"[77.604011, 60.732867]"
662,Стрелецкий,196.0,,,"[35.973655, 53.011729]"
663,Строитель,66.0,,,"[36.486998, 50.785172]"
664,Строитель,66.0,,,"[36.058771, 55.498296]"
665,Строитель,66.0,,,"[41.450028, 52.649155]"
666,Ступино,608.0,655.0,97.0,"[38.078237, 54.88628]"
667,Субханкулово,74.0,,,"[53.808277, 54.556175]"
668,Сунтар,30.0,,,"[117.647601, 62.160619]"
669,Сургут,549.0,,856.0,"[73.393032, 61.241778]"
670,Суровикино,68.0,,,"[42.844249, 48.60538]"
671,Сухиничи,40.0,,,"[35.337981, 54.101551]"
672,Сухой Лог,89.0,,,"[62.035542, 56.905431]"
673,Сызрань,2623.0,,244.0,"[48.474611, 53.155669]"
674,Сыктывкар,1017.0,,354.0,"[50.836497, 61.668797]"
675,Тавда,52.0,,,"[65.272604, 58.041876]"
676,Таганрог,1820.0,156.0,159.0,"[38.936694, 47.208735]"
677,Тайшет,71.0,,,"[98.002982, 55.940502]"
678,Тамбов,4682.0,,2148.0,"[41.45275, 52.721295]"
679,Тара,75.0,,,"[74.371981, 56.901838]"
680,Тарасовский,71.0,,,"[40.356095, 48.727189]"
681,Тверь,2399.0,,1781.0,"[35.91186, 56.859625]"
682,Тевриз,58.0,,,"[72.404652, 57.516669]"
683,Темрюк,254.0,,215.0,"[37.365388, 45.282044]"
684,Тербуны,148.0,,,"[38.279963, 52.147475]"
685,Терек,79.0,,,"[44.140267, 43.483865]"
686,Техникумовский,19.0,,,"[36.355844, 52.470514]"
687,Тикси,24.0,,,"[128.870855, 71.639263]"
688,Тихвин,116.0,,,"[33.542105, 59.644213]"
689,Тихорецк,,,352.0,"[40.123171, 45.852784]"
690,Тобольск,1085.0,,,"[68.253995, 58.200891]"
691,Тогучин,32.0,,,"[84.402874, 55.238018]"
692,Тольятти,4596.0,,1453.0,"[49.420411, 53.507852]"
693,Томск,13007.0,745.0,9385.0,"[84.947649, 56.484645]"
694,Торбеево,96.0,,,"[43.245958, 54.074511]"
695,Торжок,63.0,,,"[34.960149, 57.041338]"
696,Трехгорный,82.0,,,"[58.44662, 54.814652]"
697,Троицк,62.0,,,"[61.559004, 54.082757]"
698,Трубчевск,106.0,,,"[33.766082, 52.579083]"
699,Туймазы,115.0,,,"[53.694955, 54.600708]"
700,Тула,1729.0,5191.0,1480.0,"[37.617348, 54.193122]"
701,Тулун,72.0,,,"[100.578047, 54.55712]"
702,Тура,61.0,,,"[100.20778, 64.270386]"
703,Туринск,56.0,,,"[63.690814, 58.052474]"
704,Туринская Слобода,55.0,,,"[64.387467, 57.618062]"
705,Тучково,44.0,,,"[36.47187, 55.600857]"
706,Тында,,,156.0,"[124.73644, 55.149666]"
707,Тюмень,6706.0,,4701.0,"[65.541227, 57.152985]"
708,Тяжинский,64.0,,,"[88.517194, 56.110731]"
709,Уварово,58.0,,,"[42.261009, 51.983105]"
710,Углич,113.0,,,"[38.319372, 57.526597]"
711,Удомля,76.0,,,"[35.005739, 57.871648]"
712,Узловая,122.0,,361.0,"[38.160308, 53.97844]"
713,Улан-Удэ,2784.0,2251.0,1137.0,"[107.584547, 51.834809]"
714,Улькан,26.0,,,"[107.793846, 55.908555]"
715,Ульяновск,3240.0,3690.0,2326.0,"[48.403132, 54.314192]"
716,Урай,100.0,,,"[64.803225, 60.128955]"
717,Урюпинск,90.0,,,"[41.995593, 50.79451]"
718,Усинск,99.0,,,"[57.55701, 65.994148]"
719,Усолье-Сибирское,154.0,,,"[103.637332, 52.757095]"
720,Уссурийск,297.0,,309.0,"[131.952122, 43.797247]"
721,Усть-Илимск,60.0,,,"[102.733519, 57.942686]"
722,Усть-Камчатск,10.0,,,"[162.536137, 56.239683]"
723,Усть-Катав,83.0,,,"[58.174709, 54.930289]"
724,Уфа,13559.0,5055.0,7141.0,"[55.958736, 54.735152]"
725,Ухта,1283.0,,1014.0,"[53.663999, 63.566006]"
726,Феодосия,138.0,,,"[35.383911, 45.026654]"
727,Фокино,140.0,,,"[34.415923, 53.455436]"
728,Фокино,140.0,,,"[132.410936, 42.97407]"
729,Хабаровск,2582.0,,2595.0,"[135.071917, 48.480229]"
730,Хандыга,164.0,,,"[135.563053, 62.653533]"
731,Ханты-Мансийск,122.0,,,"[69.046866, 61.035726]"
732,Ханты-Мансийск,122.0,,,"[69.018911, 61.003184]"
733,Хасавюрт,388.0,,,"[46.585526, 43.248524]"
734,Хвойная,46.0,,,"[34.530781, 58.896724]"
735,Хворостянка,79.0,,,"[48.964929, 52.615344]"
736,Химки,169.0,,160.0,"[37.444853, 55.889361]"
737,Хлопуново,71.0,,,"[82.019545, 52.072413]"
738,Холмск,83.0,,,"[142.042017, 47.040819]"
739,Хоногор,45.0,,,"[130.120367, 62.4684]"
740,Хор,54.0,,,"[134.963041, 47.885839]"
741,Хоронхой,47.0,,,"[106.148195, 50.474158]"
742,Цивильск,157.0,,,"[47.465309, 55.864899]"
743,Чадан,106.0,,,"[91.567406, 51.28294]"
744,Чайковский,896.0,,,"[54.14881, 56.778081]"
745,Чапаевск,131.0,,,"[49.710217, 52.981709]"
746,Чебаркуль,52.0,,,"[60.37012, 54.97779]"
747,Чебоксары,3665.0,,3862.0,"[47.247728, 56.139918]"
748,Чегдомын,37.0,,,"[133.035948, 51.133904]"
749,Челябинск,3465.0,3753.0,2338.0,"[61.402554, 55.159902]"
750,Черемхово,70.0,,,"[103.090096, 53.136917]"
751,Черемшан,29.0,,,"[51.505616, 54.654704]"
752,Череповец,1919.0,,916.0,"[37.90347, 59.122612]"
753,Черкесск,1072.0,,,"[42.048279, 44.228374]"
754,Черногорск,266.0,,,"[91.306005, 53.827013]"
755,Черноярская,60.0,,,"[44.34687, 43.692884]"
756,Чернушка,159.0,,,"[56.07637, 56.516015]"
757,Чернянка,44.0,,53.0,"[37.804134, 50.940917]"
758,Черский,30.0,,,"[161.323816, 68.755809]"
759,Чистополь,74.0,,104.0,"[50.643575, 55.372339]"
760,Чита,678.0,,416.0,"[113.501049, 52.033635]"
761,Чкаловск,82.0,,,"[43.251105, 56.766257]"
762,Чунский,42.0,,,"[99.6619, 56.088298]"
763,Чусовой,75.0,,,"[57.808053, 58.305058]"
764,Шадринск,117.0,,,"[63.629747, 56.087042]"
765,Шарыпово,99.0,,,"[89.18016, 55.53909]"
766,Шатура,122.0,,,"[39.544575, 55.577577]"
767,Шахты,2691.0,,844.0,"[40.215401, 47.709237]"
768,Шебекино,231.0,,,"[36.879319, 50.404344]"
769,Шелехов,82.0,,,"[104.097395, 52.210209]"
770,Шемышейка,43.0,,,"[45.397881, 52.889919]"
771,Шлиссельбург,120.0,,,"[31.034754, 59.944959]"
772,Шолоховский,59.0,,,"[41.046505, 48.282732]"
773,Шумерля,81.0,,,"[46.417846, 55.497934]"
774,Шушенское,94.0,,,"[91.935643, 53.333763]"
775,Шуя,141.0,,,"[41.384622, 56.854404]"
776,Щекино,152.0,,119.0,"[37.518165, 54.001574]"
777,Щигры,66.0,,,"[36.912341, 51.873243]"
778,Эгвекинот,21.0,,,"[177.339555, 68.08756]"
779,Электросталь,503.0,,476.0,"[38.444858, 55.78445]"
780,Элиста,84.0,,,"[44.269759, 46.307743]"
781,Энгельс,2168.0,,135.0,"[46.124052, 51.50105]"
782,Югорск,101.0,,,"[63.331964, 61.314917]"
783,Южно-Сахалинск,535.0,,,"[142.729587, 46.957771]"
784,Южноуральск,86.0,,,"[61.268237, 54.442455]"
785,Юрга,897.0,,,"[84.933878, 55.713557]"
786,Юрюзань,71.0,,,"[58.425276, 54.853677]"
787,Ютановка,,,46.0,"[37.796768, 50.4909]"
788,Якутск,1474.0,,259.0,"[129.732178, 62.027221]"
789,Ялуторовск,204.0,,,"[66.312215, 56.654694]"
790,Яровое,51.0,,,"[78.580049, 52.919743]"
791,Ярославль,2846.0,,2636.0,"[39.893813, 57.626559]"
792,Ярцево,50.0,,,"[32.688292, 55.066123]"
793,Ясногорск,119.0,,,"[37.693354, 54.479293]"
794,Ясногорск,119.0,,,"[115.692013, 50.87397]"
795,имени Карла Либкнехта,65.0,,,"[35.479339, 51.623467]"
