city,coordinates
Инза,"[46.351649, 53.85704]"
Иннополис,"[48.744618, 55.752085]"
Инсар,"[44.372248, 53.866513]"
Инта,"[60.115367, 66.036823]"
Ипатово,"[42.911156, 45.717425]"
Ирбит,"[63.054079, 57.68507]"
Иркутск,"[104.280606, 52.289588]"
Исилькуль,"[71.262453, 54.913914]"
Искитим,"[83.306391, 54.642587]"
Истра,"[36.859017, 55.91466]"
Ишим,"[69.457073, 56.109175]"
Ишимбай,"[56.04395, 53.454626]"
Йошкар-Ола,"[47.886178, 56.6316]"
Кадников,"[40.341112, 59.501748]"
Казань,"[49.106414, 55.796127]"
Калач,"[41.016231, 50.424136]"
Калач-на-Дону,"[43.538216, 48.682007]"
Калачинск,"[74.581782, 55.052613]"
Калининград,"[20.510137, 54.710162]"
Калининск,"[44.48548, 51.499671]"
Калтан,"[87.27716, 53.521088]"
Калуга,"[36.261224, 54.513845]"
Калязин,"[37.828308, 57.241069]"
Камбарка,"[54.193475, 56.266957]"
Каменка,"[44.046878, 53.185557]"
Каменногорск,"[29.130882, 60.95081]"
Каменск-Уральский,"[61.917764, 56.41524]"
Каменск-Шахтинский,"[40.269534, 48.323133]"
Камень-на-Оби,"[81.354558, 53.791492]"
Камешково,"[40.995597, 56.348921]"
Камызяк,"[48.067548, 46.114432]"
Камышин,"[45.402166, 50.085287]"
Камышлов,"[62.707464, 56.843988]"
Канаш,"[47.491764, 55.506943]"
Кандалакша,"[32.412832, 67.151256]"
Канск,"[95.705064, 56.20505]"
Карабаново,"[38.696853, 56.308116]"
Карабаш,"[60.203087, 55.488371]"
Карабулак,"[44.909413, 43.305601]"
Карасук,"[78.04936, 53.731934]"
Карачаевск,"[41.911475, 43.769958]"
Карачев,"[34.982805, 53.121594]"
Каргат,"[80.283012, 55.194486]"
Каргополь,"[38.948166, 61.505339]"
Карпинск,"[60.001074, 59.766633]"
Карталы,"[60.639462, 53.053308]"
Касимов,"[41.391368, 54.937288]"
Касли,"[60.757411, 55.897337]"
Каспийск,"[47.635665, 42.890853]"
Катав-Ивановск,"[58.205836, 54.753513]"
Катайск,"[62.58365, 56.283235]"
Качканар,"[59.485037, 58.70526]"
Кашин,"[37.607745, 57.361939]"
Кашира,"[38.15154, 54.834589]"
Кедровый,"[79.566974, 57.560963]"
Кемерово,"[86.086847, 55.355198]"
Кемь,"[34.59838, 64.955532]"
Керчьне призн.,"[33.993751, 45.3892]"
Кизел,"[57.653875, 59.04943]"
Кизилюрт,"[46.866887, 43.204637]"
Кизляр,"[46.710338, 43.850312]"
Кимовск,"[38.533063, 53.972149]"
Кимры,"[37.358274, 56.872659]"
Кингисепп,"[28.601209, 59.378053]"
Кинель,"[50.634394, 53.22101]"
Кинешма,"[42.169525, 57.443126]"
Киреевск,"[37.928542, 53.934949]"
Киренск,"[108.110825, 57.775727]"
Киржач,"[38.871585, 56.161945]"
Кириллов,"[38.374942, 59.859059]"
Кириши,"[32.008716, 59.449695]"
Киров,"[34.307999, 54.079614]"
Киров,"[49.668023, 58.603595]"
Кировград,"[60.062321, 57.431916]"
Кирово-Чепецк,"[50.043941, 58.556581]"
Кировск,"[30.981457, 59.87533]"
Кировск,"[33.668237, 67.61206]"
Кирс,"[52.241516, 59.339991]"
Кирсанов,"[42.728663, 52.650652]"
Киселёвск,"[86.636688, 54.006025]"
Кисловодск,"[42.715718, 43.905518]"
Клин,"[36.728725, 56.331588]"
Клинцы,"[32.233852, 52.753143]"
Княгинино,"[45.032249, 55.820566]"
Ковдор,"[30.474034, 67.562917]"
Ковров,"[41.310933, 56.362506]"
Ковылкино,"[43.91505, 54.0379]"
Когалым,"[74.482761, 62.264069]"
Кодинск,"[99.179712, 58.603412]"
Козельск,"[35.78226, 54.034601]"
Козловка,"[48.245136, 55.840386]"
Козьмодемьянск,"[46.547222, 56.332631]"
Кола,"[33.025232, 68.878221]"
Кологрив,"[44.310551, 58.825182]"
Коломна,"[38.765556, 55.095956]"
Колпашево,"[82.902688, 58.311389]"
Кольчугино,"[39.376501, 56.293647]"
Коммунар,"[30.393483, 59.621609]"
Комсомольск,"[40.37761, 57.027394]"
Комсомольск-на-Амуре,"[137.008685, 50.550055]"
Конаково,"[36.779354, 56.713242]"
Кондопога,"[34.272758, 62.20475]"
Кондрово,"[35.926647, 54.807435]"
Константиновск,"[41.096694, 47.577341]"
Копейск,"[61.611574, 55.115697]"
Кораблино,"[40.034463, 53.926817]"
Кореновск,"[39.448033, 45.462742]"
Коркино,"[61.393049, 54.892493]"
Королёв,"[37.815211, 55.918953]"
Короча,"[37.196119, 50.811355]"
Корсаков,"[142.782579, 46.63498]"
Коряжма,"[47.159864, 61.315335]"
Костерёво,"[39.63385, 55.934296]"
Костомукша,"[30.596637, 64.587358]"
Кострома,"[40.926894, 57.767918]"
Котельники,"[37.850523, 55.660191]"
Котельниково,"[43.146065, 47.630046]"
Котельнич,"[48.346313, 58.305095]"
Котлас,"[46.633226, 61.252975]"
Котово,"[44.801328, 50.322064]"
Котовск,"[41.50575, 52.59292]"
Кохма,"[41.093217, 56.932531]"
Красавино,"[46.481474, 60.961377]"
Красноармейск,"[38.141578, 56.120342]"
Красноармейск,"[45.695178, 51.023973]"
Красновишерск,"[57.083301, 60.412825]"
Красногорск,"[37.330399, 55.831003]"
Краснодар,"[38.975313, 45.03547]"
Краснозаводск,"[38.25154, 56.43791]"
Краснознаменск,"[22.49059, 54.942149]"
Краснознаменск,"[37.042489, 55.600506]"
Краснокаменск,"[118.034146, 50.098683]"
Краснокамск,"[55.736376, 58.078362]"
Красноперекопскне призн.,"[33.993751, 45.3892]"
Краснослободск,"[44.563149, 48.706788]"
Краснослободск,"[43.787283, 54.424005]"
Краснотурьинск,"[60.193574, 59.763534]"
Красноуральск,"[60.038749, 58.356726]"
Красноуфимск,"[57.770791, 56.617928]"
Красноярск,"[92.852572, 56.010569]"
Красный Кут,"[46.968118, 50.951263]"
Красный Сулин,"[40.057495, 47.893519]"
Красный Холм,"[37.112531, 58.057088]"
Кремёнки,"[37.116232, 54.887036]"
Кропоткин,"[40.576003, 45.434693]"
Крымск,"[37.987894, 44.935414]"
Кстово,"[44.206805, 56.150665]"
Кубинка,"[36.695182, 55.575577]"
Кувандык,"[57.350765, 51.478528]"
Кувшиново,"[34.165877, 57.028957]"
Кудрово,"[30.513578, 59.908489]"
Кудымкар,"[54.664183, 59.014548]"
Кузнецк,"[46.601174, 53.119335]"
Куйбышев,"[78.311111, 55.445972]"
Кукмор,"[50.89399, 56.186599]"
Кулебаки,"[42.512492, 55.429716]"
Кумертау,"[55.796698, 52.756185]"
Кунгур,"[56.944215, 57.42881]"
Купино,"[77.295691, 54.364236]"
Курган,"[65.341118, 55.441004]"
Курганинск,"[40.588858, 44.88453]"
Курильск,"[147.875506, 45.22829]"
Курлово,"[40.611208, 55.454973]"
Куровское,"[38.923022, 55.57718]"
Курск,"[36.193015, 51.730846]"
Куртамыш,"[64.42799, 54.910156]"
Курчалой,"[46.088955, 43.204637]"
Курчатов,"[35.657098, 51.659518]"
Куса,"[59.442196, 55.337496]"
Кушва,"[59.764682, 58.282571]"
Кызыл,"[94.43799, 51.71989]"
Кыштым,"[60.538958, 55.707882]"
Кяхта,"[106.449903, 50.35522]"
Лабинск,"[40.723578, 44.635715]"
Лабытнанги,"[66.37993, 66.660883]"
Лагань,"[47.354142, 45.392903]"
Ладушкин,"[20.172954, 54.569121]"
Лаишево,"[49.544522, 55.402628]"
Лакинск,"[39.949446, 56.01711]"
Лангепас,"[75.180725, 61.253706]"
Лахденпохья,"[30.194488, 61.521157]"
Лебедянь,"[39.134629, 53.010982]"
Лениногорск,"[52.442676, 54.599028]"
Ленинск,"[45.199228, 48.693682]"
Ленинск-Кузнецкий,"[86.162243, 54.663609]"
Ленск,"[114.911853, 60.713735]"
Лермонтов,"[42.973184, 44.10535]"
Лесной,"[59.79863, 58.635513]"
Лесозаводск,"[133.398221, 45.464809]"
Лесосибирск,"[92.503666, 58.221733]"
Ливны,"[37.60805, 52.426549]"
Ликино-Дулёво,"[38.958712, 55.707086]"
Липецк,"[39.599229, 52.608826]"
Липки,"[37.701924, 53.941755]"
Лиски,"[39.497099, 50.987304]"
Лихославль,"[35.466808, 57.122224]"
Лобня,"[37.47492, 56.01242]"
Лодейное Поле,"[33.543183, 60.734305]"
Лосино-Петровский,"[38.200992, 55.872183]"
Луга,"[29.847945, 58.735207]"
Луза,"[47.254771, 60.630013]"
Лукоянов,"[44.493358, 55.032702]"
Луховицы,"[39.02605, 54.96515]"
Лысково,"[45.040971, 56.021362]"
Лысьва,"[57.811664, 58.100417]"
Лыткарино,"[37.908986, 55.579302]"
Льгов,"[35.257456, 51.655953]"
Любань,"[31.24858, 59.349301]"
Люберцы,"[37.893328, 55.676748]"
Любим,"[40.686882, 58.362004]"
Людиново,"[34.447732, 53.864533]"
Лянтор,"[72.155361, 61.620667]"
Магадан,"[150.808586, 59.565155]"
Магас,"[44.803574, 43.166787]"
Магнитогорск,"[58.980291, 53.407163]"
Майкоп,"[40.105852, 44.606683]"
Майский,"[44.051756, 43.628254]"
Макаров,"[142.781807, 48.622695]"
Макарьев,"[43.807764, 57.880038]"
Макушино,"[67.248601, 55.205029]"
Малая Вишера,"[32.217673, 58.845758]"
Малгобек,"[44.585723, 43.509318]"
Малмыж,"[50.678232, 56.524466]"
Малоархангельск,"[36.502107, 52.400974]"
Малоярославец,"[36.461351, 55.012667]"
Мамадыш,"[51.409703, 55.717847]"
Мамоново,"[19.941485, 54.462922]"
Мантурово,"[44.763652, 58.333979]"
Мариинск,"[87.742263, 56.206957]"
Мариинский Посад,"[47.718661, 56.113707]"
Маркс,"[46.740144, 51.712591]"
Махачкала,"[47.504745, 42.9831]"
Мглин,"[32.847815, 53.061074]"
Мегион,"[76.102621, 61.03289]"
Медвежьегорск,"[34.473101, 62.914998]"
Медногорск,"[57.582944, 51.403446]"
Медынь,"[35.856515, 54.968535]"
Межгорье,"[57.973531, 54.241604]"
Междуреченск,"[88.080398, 53.685199]"
Мезень,"[44.243447, 65.844166]"
Меленки,"[41.634039, 55.33872]"
Мелеуз,"[55.927672, 52.959143]"
Менделеевск,"[52.314397, 55.895186]"
Мензелинск,"[53.101429, 55.719972]"
Мещовск,"[35.27809, 54.321476]"
Миасс,"[60.109599, 55.050432]"
Микунь,"[50.082532, 62.356493]"
Миллерово,"[40.394849, 48.92173]"
Минеральные Воды,"[43.13834, 44.208806]"
Минусинск,"[91.686981, 53.710015]"
Миньяр,"[57.548467, 55.070912]"
Мирный,"[113.978701, 62.541028]"
Мирный,"[40.326613, 62.761555]"
Михайлов,"[39.023517, 54.232506]"
Михайловка,"[43.23445, 50.07938]"
Михайловск,"[59.125926, 56.444862]"
Михайловск,"[42.028803, 45.129667]"
Мичуринск,"[40.49802, 52.893913]"
Могоча,"[119.766089, 53.736211]"
Можайск,"[36.016972, 55.506954]"
Можга,"[52.213022, 56.440244]"
Моздок,"[44.653887, 43.735433]"
Мончегорск,"[32.937071, 67.938921]"
Морозовск,"[41.830887, 48.351157]"
Моршанск,"[41.811627, 53.443611]"
Мосальск,"[34.982526, 54.490397]"
Москва,"[37.617644, 55.755819]"
Муравленко,"[74.494457, 63.795285]"
Мураши,"[48.96386, 59.395604]"
Мурино,"[30.438578, 60.051284]"
Мурманск,"[33.074918, 68.970663]"
Муром,"[42.052411, 55.579174]"
Мценск,"[36.575006, 53.278939]"
Мыски,"[87.805747, 53.712514]"
Мытищи,"[37.736743, 55.909968]"
Мышкин,"[38.454883, 57.78663]"
Набережные Челны,"[52.403662, 55.741272]"
Навашино,"[42.188748, 55.543893]"
Наволоки,"[41.957774, 57.470593]"
Надым,"[72.540055, 65.527025]"
Назарово,"[90.417697, 56.012345]"
Назрань,"[44.768485, 43.231409]"
Называевск,"[71.349186, 55.564821]"
Нальчик,"[43.607081, 43.485259]"
Нариманов,"[47.854405, 46.689553]"
Наро-Фоминск,"[36.72285, 55.383838]"
Нарткала,"[43.862022, 43.556734]"
Нарьян-Мар,"[53.006926, 67.63805]"
Находка,"[132.89282, 42.824043]"
Невель,"[29.91725, 56.017483]"
Невельск,"[141.856596, 46.671673]"
Невинномысск,"[41.936061, 44.638287]"
Невьянск,"[60.218251, 57.491225]"
Нелидово,"[32.772042, 56.225553]"
Неман,"[22.028146, 55.038841]"
Нерехта,"[40.572563, 57.460544]"
Нерчинск,"[116.585693, 51.977058]"
Нерюнгри,"[124.712311, 56.657717]"
Нестеров,"[22.571366, 54.631368]"
Нефтегорск,"[51.163808, 52.797221]"
Нефтекамск,"[54.247751, 56.088483]"
Нефтекумск,"[44.994097, 44.750586]"
Нефтеюганск,"[72.616403, 61.088255]"
Нея,"[43.867637, 58.293911]"
Нижневартовск,"[76.558902, 60.938545]"
Нижнекамск,"[51.819712, 55.637576]"
Нижнеудинск,"[99.026387, 54.901238]"
Нижние Серги,"[59.301322, 56.658533]"
Нижний Ломов,"[43.672999, 53.530049]"
Нижний Новгород,"[44.006516, 56.326797]"
Нижний Тагил,"[59.971474, 57.907562]"
Нижняя Салда,"[60.716331, 58.07149]"
Нижняя Тура,"[59.851325, 58.631072]"
Николаевск,"[45.45911, 50.025878]"
Николаевск-на-Амуре,"[140.713795, 53.14025]"
Никольск,"[45.45849, 59.530416]"
Никольск,"[46.084356, 53.71447]"
Никольское,"[30.78681, 59.704574]"
Новая Ладога,"[32.316183, 60.106401]"
Новая Ляля,"[60.594142, 59.052073]"
